ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Furnished_Status,Floor_No,Total_Floors,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,Good_Investment,Property_Age
168561,Andhra Pradesh,Vijayawada,Locality_71,Apartment,5,2798,276.95,9898.141529664046,Semi-furnished,29,14,6,9,Medium,No,No,Pool,South,Owner,Ready_to_Move,1,20
103275,Telangana,Hyderabad,Locality_251,Villa,5,3038,37.75,1242.5938117182357,Unfurnished,9,8,10,1,Low,No,No,"Playground, Garden, Clubhouse, Pool, Gym",North,Broker,Ready_to_Move,1,31
165191,Uttarakhand,Dehradun,Locality_119,Apartment,5,4158,103.63,2492.3039923039923,Semi-furnished,30,16,8,8,High,Yes,Yes,"Pool, Clubhouse, Garden",East,Broker,Under_Construction,1,12
104437,Jharkhand,Jamshedpur,Locality_90,Apartment,2,2468,340.19,13784.035656401946,Unfurnished,24,26,8,4,Low,Yes,Yes,"Gym, Clubhouse",North,Owner,Under_Construction,0,24
189628,West Bengal,Kolkata,Locality_46,Villa,3,2913,349.46,11996.567112941984,Furnished,11,6,3,4,High,No,No,"Clubhouse, Pool, Playground",East,Builder,Under_Construction,0,33
189251,Andhra Pradesh,Vijayawada,Locality_379,Apartment,4,2308,180.24,7809.358752166378,Unfurnished,16,20,1,9,Low,No,No,"Playground, Gym, Garden, Clubhouse",East,Broker,Ready_to_Move,1,17
78946,Jharkhand,Ranchi,Locality_210,Villa,1,3309,283.07,8554.548201873678,Furnished,20,14,5,4,Medium,No,Yes,"Playground, Garden, Gym, Clubhouse, Pool",South,Builder,Under_Construction,1,11
147583,West Bengal,Kolkata,Locality_385,Villa,1,2905,186.44,6417.90017211704,Semi-furnished,1,12,4,9,High,No,Yes,"Gym, Pool, Playground, Clubhouse, Garden",East,Builder,Ready_to_Move,1,6
87029,Tamil Nadu,Coimbatore,Locality_403,Apartment,5,4499,18.47,410.5356745943543,Unfurnished,5,20,8,8,Medium,Yes,Yes,Clubhouse,North,Builder,Ready_to_Move,1,26
163227,Uttarakhand,Haridwar,Locality_407,Independent House,4,729,113.82,15613.168724279836,Semi-furnished,6,28,9,5,High,Yes,Yes,"Playground, Clubhouse, Gym, Garden, Pool",North,Owner,Under_Construction,0,34
194919,Andhra Pradesh,Vishakhapatnam,Locality_465,Apartment,2,2197,159.3,7250.79654073737,Furnished,21,2,6,5,Low,No,Yes,Playground,North,Builder,Under_Construction,1,34
141784,Kerala,Kochi,Locality_58,Independent House,5,2896,381.45,13171.616022099448,Unfurnished,24,7,4,9,High,Yes,No,"Pool, Garden, Playground",North,Broker,Ready_to_Move,0,11
82355,Tamil Nadu,Coimbatore,Locality_380,Independent House,2,3532,203.42,5759.343148357871,Furnished,26,13,3,1,Low,Yes,No,"Gym, Playground",East,Broker,Under_Construction,1,31
184893,Jharkhand,Ranchi,Locality_488,Apartment,3,2802,119.23,4255.174875089222,Furnished,27,16,2,3,High,No,No,Gym,South,Broker,Ready_to_Move,1,11
119439,Chhattisgarh,Bilaspur,Locality_6,Independent House,4,4941,128.06,2591.7830398704714,Unfurnished,24,15,5,4,High,Yes,Yes,"Playground, Gym, Clubhouse, Garden, Pool",West,Builder,Ready_to_Move,1,26
214500,Bihar,Patna,Locality_268,Villa,3,3724,377.05,10124.865735767991,Furnished,26,30,2,1,High,Yes,Yes,Pool,North,Owner,Ready_to_Move,0,22
230799,Maharashtra,Nagpur,Locality_180,Independent House,2,4691,415.09,8848.6463440631,Furnished,24,14,2,9,High,Yes,Yes,"Gym, Playground",North,Builder,Ready_to_Move,1,6
110885,Haryana,Gurgaon,Locality_261,Independent House,5,4709,310.89,6602.038649394776,Furnished,11,8,7,6,Medium,Yes,No,"Garden, Clubhouse",East,Broker,Under_Construction,1,11
211176,Tamil Nadu,Chennai,Locality_183,Independent House,3,3514,342.11,9735.62891291975,Unfurnished,30,16,7,7,Low,No,No,"Gym, Playground",South,Broker,Ready_to_Move,0,4
131206,Odisha,Cuttack,Locality_484,Villa,5,3871,390.72,10093.515887367605,Furnished,10,24,5,7,Low,No,Yes,"Clubhouse, Gym, Pool",North,Owner,Ready_to_Move,0,29
12622,Jharkhand,Jamshedpur,Locality_236,Villa,4,2312,315.92,13664.359861591696,Semi-furnished,6,20,3,4,Medium,Yes,No,"Pool, Playground, Clubhouse, Gym, Garden",South,Builder,Ready_to_Move,0,30
48772,Chhattisgarh,Bilaspur,Locality_400,Apartment,3,3618,188.22,5202.321724709785,Unfurnished,23,10,2,4,Low,Yes,Yes,"Pool, Playground, Clubhouse",East,Owner,Under_Construction,1,21
177813,Uttarakhand,Dehradun,Locality_161,Independent House,2,4147,402.93,9716.180371352784,Unfurnished,12,17,1,7,Medium,No,No,"Gym, Playground, Clubhouse",South,Builder,Ready_to_Move,1,23
44523,Uttar Pradesh,Noida,Locality_472,Apartment,4,1463,190.33,13009.56937799043,Unfurnished,15,4,10,9,High,Yes,No,"Clubhouse, Playground",North,Builder,Ready_to_Move,0,29
103301,Gujarat,Surat,Locality_435,Apartment,3,4965,454.48,9153.675730110775,Furnished,23,13,8,2,Low,No,No,"Clubhouse, Pool, Gym, Playground, Garden",North,Broker,Under_Construction,1,4
148874,Punjab,Ludhiana,Locality_269,Villa,2,3265,242.16,7416.845329249617,Furnished,7,28,8,6,High,No,Yes,Gym,South,Broker,Ready_to_Move,1,27
210132,Haryana,Gurgaon,Locality_412,Villa,1,4169,285.54,6849.124490285441,Unfurnished,10,17,2,7,High,Yes,No,"Pool, Playground",North,Builder,Under_Construction,1,24
33383,Madhya Pradesh,Bhopal,Locality_43,Independent House,5,3135,189.39,6041.148325358851,Semi-furnished,15,23,1,5,High,Yes,No,"Gym, Playground, Garden",North,Builder,Under_Construction,1,12
84879,Chhattisgarh,Bilaspur,Locality_15,Apartment,3,4290,25.92,604.1958041958042,Unfurnished,2,17,7,7,Medium,No,No,"Playground, Gym, Pool, Clubhouse, Garden",North,Owner,Under_Construction,1,34
50792,Assam,Silchar,Locality_6,Villa,4,1595,170.63,10697.80564263323,Furnished,15,6,4,6,High,Yes,Yes,"Garden, Clubhouse",North,Builder,Under_Construction,0,8
6828,Uttarakhand,Haridwar,Locality_246,Villa,1,4484,458.93,10234.834968777877,Furnished,21,10,6,3,High,Yes,Yes,"Garden, Pool, Gym, Playground, Clubhouse",East,Builder,Under_Construction,0,7
187585,Jharkhand,Ranchi,Locality_222,Independent House,3,3239,69.08,2132.7570237727696,Semi-furnished,25,30,4,5,Medium,No,No,"Garden, Pool, Playground",South,Broker,Under_Construction,1,4
227165,Andhra Pradesh,Vishakhapatnam,Locality_360,Villa,2,2688,37.64,1400.297619047619,Unfurnished,10,18,6,10,High,No,Yes,"Gym, Garden, Clubhouse",North,Builder,Under_Construction,1,35
183048,Jharkhand,Ranchi,Locality_275,Independent House,2,3522,266.57,7568.710959681999,Furnished,24,5,6,1,Low,Yes,Yes,Garden,North,Broker,Ready_to_Move,1,20
22639,Gujarat,Surat,Locality_76,Villa,4,3799,450.19,11850.223743090288,Semi-furnished,24,19,7,6,Medium,No,No,"Pool, Clubhouse, Garden",South,Owner,Under_Construction,0,26
162743,Assam,Silchar,Locality_37,Villa,3,4531,171.51,3785.257117634076,Unfurnished,30,13,10,8,Low,No,No,"Clubhouse, Playground, Gym, Pool, Garden",West,Builder,Under_Construction,1,27
203286,Karnataka,Mangalore,Locality_187,Villa,4,3573,74.4,2082.283795130143,Semi-furnished,4,15,6,10,High,Yes,No,Pool,East,Owner,Under_Construction,1,4
121158,Karnataka,Mangalore,Locality_144,Apartment,3,2946,56.16,1906.3136456211812,Unfurnished,11,25,6,1,High,Yes,Yes,"Playground, Garden, Gym, Clubhouse",East,Builder,Ready_to_Move,1,20
205939,Karnataka,Mysore,Locality_77,Apartment,1,2630,431.08,16390.87452471483,Semi-furnished,20,28,9,8,Medium,Yes,Yes,"Gym, Garden, Pool, Playground, Clubhouse",South,Owner,Ready_to_Move,0,33
172647,Chhattisgarh,Raipur,Locality_416,Villa,3,4942,412.09,8338.526912181303,Semi-furnished,9,26,8,8,Medium,No,Yes,Gym,South,Owner,Ready_to_Move,1,15
163023,Kerala,Kochi,Locality_290,Apartment,4,3385,24.96,737.3707533234859,Unfurnished,30,15,5,8,High,No,No,"Garden, Playground, Pool, Clubhouse",South,Builder,Under_Construction,1,32
248212,Gujarat,Surat,Locality_226,Apartment,4,3987,32.92,825.6834712816654,Unfurnished,20,30,9,3,Low,Yes,Yes,Garden,East,Builder,Ready_to_Move,1,25
28182,Chhattisgarh,Raipur,Locality_475,Independent House,5,4385,204.02,4652.679589509692,Furnished,14,23,7,9,Low,Yes,Yes,"Gym, Garden",North,Broker,Under_Construction,1,6
3278,Chhattisgarh,Bilaspur,Locality_431,Villa,3,1015,275.38,27131.03448275862,Semi-furnished,9,16,9,7,Low,No,Yes,"Gym, Clubhouse, Garden, Pool",East,Builder,Ready_to_Move,0,17
19214,Haryana,Faridabad,Locality_426,Villa,2,2200,181.16,8234.545454545454,Unfurnished,8,29,3,6,High,Yes,Yes,Pool,West,Owner,Ready_to_Move,1,24
220497,Uttarakhand,Dehradun,Locality_401,Villa,3,4376,157.48,3598.72029250457,Semi-furnished,22,12,1,8,Low,Yes,No,Gym,North,Builder,Under_Construction,1,2
14192,Odisha,Bhubaneswar,Locality_151,Villa,2,4377,290.35,6633.538953621202,Semi-furnished,10,21,3,9,High,No,No,"Clubhouse, Gym, Garden, Playground, Pool",South,Builder,Under_Construction,1,30
219599,Tamil Nadu,Coimbatore,Locality_476,Villa,4,1672,65.78,3934.2105263157896,Furnished,22,29,3,6,Low,No,No,Pool,West,Owner,Ready_to_Move,1,11
185373,Kerala,Kochi,Locality_136,Independent House,4,4830,403.41,8352.173913043478,Unfurnished,5,13,4,10,High,Yes,No,"Playground, Garden",North,Builder,Ready_to_Move,1,6
218724,Rajasthan,Jaipur,Locality_452,Villa,3,3535,178.36,5045.544554455446,Semi-furnished,27,28,7,10,Medium,No,No,"Gym, Playground",South,Builder,Under_Construction,1,7
114288,Delhi,New Delhi,Locality_175,Villa,2,2852,135.01,4733.870967741936,Furnished,18,19,7,4,High,No,Yes,"Playground, Gym, Clubhouse",West,Broker,Ready_to_Move,1,19
37128,Karnataka,Mangalore,Locality_454,Villa,3,4988,331.87,6653.368083400161,Furnished,17,11,10,9,Medium,No,No,"Garden, Gym, Pool, Playground",South,Broker,Ready_to_Move,1,24
71758,West Bengal,Kolkata,Locality_200,Independent House,5,3302,326.74,9895.215021199274,Unfurnished,20,28,2,7,Medium,Yes,No,"Pool, Garden, Playground",South,Owner,Under_Construction,0,25
68896,Telangana,Hyderabad,Locality_243,Independent House,4,1219,239.97,19685.808039376538,Semi-furnished,27,30,4,5,Low,No,Yes,"Clubhouse, Gym, Garden",West,Owner,Ready_to_Move,0,4
42937,Uttar Pradesh,Noida,Locality_237,Apartment,4,4969,38.35,771.7850674179915,Furnished,23,10,7,8,Medium,Yes,Yes,"Pool, Playground, Gym, Garden",North,Builder,Ready_to_Move,1,6
24203,Tamil Nadu,Chennai,Locality_270,Independent House,3,3339,397.27,11897.873614854747,Unfurnished,30,19,9,4,High,Yes,Yes,"Garden, Gym, Clubhouse, Playground, Pool",South,Broker,Ready_to_Move,0,32
168368,Bihar,Gaya,Locality_322,Villa,3,1222,329.36,26952.53682487725,Furnished,6,19,2,10,Low,Yes,Yes,"Clubhouse, Gym",South,Builder,Under_Construction,0,12
197428,Tamil Nadu,Coimbatore,Locality_107,Apartment,5,3226,186.12,5769.373837569746,Semi-furnished,4,4,3,2,Low,Yes,Yes,"Gym, Clubhouse, Garden, Playground, Pool",North,Broker,Ready_to_Move,1,11
225568,Gujarat,Surat,Locality_213,Villa,1,4996,115.21,2306.044835868695,Furnished,20,12,9,4,High,No,Yes,"Garden, Clubhouse",West,Broker,Under_Construction,1,32
27009,Haryana,Gurgaon,Locality_455,Villa,1,3619,140.87,3892.5117435755733,Unfurnished,27,9,3,6,High,Yes,Yes,"Gym, Garden, Clubhouse",North,Broker,Under_Construction,1,21
41460,Assam,Silchar,Locality_119,Apartment,4,4501,208.44,4630.970895356588,Unfurnished,15,6,5,7,High,No,Yes,"Clubhouse, Pool, Garden, Playground, Gym",South,Builder,Ready_to_Move,1,30
214072,Rajasthan,Jodhpur,Locality_209,Apartment,3,2103,382.6,18193.057536852117,Semi-furnished,0,26,2,5,Medium,No,No,"Playground, Pool",South,Builder,Ready_to_Move,0,28
98011,Tamil Nadu,Coimbatore,Locality_456,Villa,3,1331,344.14,25855.747558226896,Semi-furnished,23,7,2,8,Medium,Yes,Yes,Pool,North,Broker,Under_Construction,0,6
46731,Andhra Pradesh,Vishakhapatnam,Locality_392,Villa,5,3850,193.4,5023.376623376624,Unfurnished,17,28,2,5,High,Yes,No,"Clubhouse, Garden",South,Builder,Under_Construction,1,23
244781,Punjab,Amritsar,Locality_15,Independent House,3,1416,339.9,24004.237288135595,Semi-furnished,13,23,7,9,Low,No,Yes,"Pool, Gym",North,Builder,Ready_to_Move,0,28
106003,Rajasthan,Jaipur,Locality_248,Apartment,2,3172,486.43,15335.119798234553,Unfurnished,20,2,8,9,Medium,No,Yes,"Playground, Clubhouse, Pool, Gym",South,Broker,Ready_to_Move,0,22
18403,Assam,Guwahati,Locality_482,Villa,5,4627,16.6,358.7637778258051,Furnished,16,14,4,5,Medium,No,No,"Gym, Garden, Clubhouse",North,Broker,Under_Construction,1,2
218614,Haryana,Gurgaon,Locality_310,Apartment,2,2854,240.56,8428.871758934829,Semi-furnished,2,23,10,5,High,No,No,"Pool, Gym, Clubhouse, Playground, Garden",North,Owner,Ready_to_Move,1,7
178651,Chhattisgarh,Raipur,Locality_326,Independent House,3,4667,156.41,3351.40347118063,Unfurnished,25,18,3,9,High,Yes,Yes,"Pool, Garden",South,Broker,Ready_to_Move,1,35
99675,Haryana,Faridabad,Locality_493,Apartment,4,4488,463.37,10324.643493761141,Semi-furnished,7,7,1,7,Low,No,No,"Clubhouse, Playground",South,Broker,Under_Construction,0,3
66221,Jharkhand,Jamshedpur,Locality_85,Independent House,2,3035,313.64,10334.102141680396,Unfurnished,4,22,6,7,Medium,Yes,Yes,"Playground, Garden, Pool",North,Builder,Ready_to_Move,0,5
86038,Haryana,Gurgaon,Locality_102,Villa,4,2000,486.8,24340.0,Semi-furnished,9,24,2,3,High,Yes,No,"Garden, Gym, Pool, Playground, Clubhouse",East,Owner,Under_Construction,0,35
24345,Tamil Nadu,Chennai,Locality_162,Independent House,1,3100,54.35,1753.225806451613,Furnished,7,3,10,4,Medium,Yes,Yes,"Garden, Pool, Clubhouse, Playground",West,Owner,Under_Construction,1,2
218126,Kerala,Trivandrum,Locality_49,Villa,1,1718,19.36,1126.8917345750874,Semi-furnished,27,2,3,10,Low,No,Yes,"Garden, Clubhouse, Gym, Playground",South,Builder,Under_Construction,1,8
50475,West Bengal,Kolkata,Locality_86,Apartment,2,1768,61.55,3481.334841628959,Furnished,22,4,8,1,Low,Yes,Yes,"Playground, Clubhouse, Gym",North,Builder,Ready_to_Move,1,13
111459,Jharkhand,Ranchi,Locality_325,Villa,3,3926,89.99,2292.154865002547,Semi-furnished,25,15,8,8,Low,No,Yes,"Garden, Playground",North,Broker,Under_Construction,1,18
81501,Odisha,Bhubaneswar,Locality_313,Villa,4,2341,416.88,17807.774455360955,Unfurnished,28,1,10,10,Low,No,Yes,"Garden, Clubhouse",North,Broker,Ready_to_Move,0,24
242489,Bihar,Patna,Locality_336,Independent House,5,2552,125.45,4915.752351097179,Unfurnished,21,24,5,3,High,No,Yes,"Garden, Clubhouse, Gym",West,Broker,Under_Construction,1,21
15288,Uttar Pradesh,Lucknow,Locality_166,Independent House,1,1536,458.46,29847.65625,Unfurnished,6,24,6,6,Medium,Yes,No,Playground,West,Broker,Under_Construction,0,35
172356,Rajasthan,Jaipur,Locality_294,Independent House,5,3125,328.23,10503.36,Unfurnished,7,14,5,1,Medium,No,No,"Playground, Gym, Clubhouse",South,Builder,Under_Construction,0,3
163356,Odisha,Cuttack,Locality_204,Independent House,2,3302,186.59,5650.817686250757,Semi-furnished,25,17,3,10,Low,Yes,No,Garden,North,Broker,Ready_to_Move,1,26
239217,Haryana,Gurgaon,Locality_24,Independent House,5,1190,364.38,30620.168067226892,Unfurnished,24,30,1,4,Medium,No,No,"Clubhouse, Garden, Gym, Pool, Playground",West,Broker,Under_Construction,0,34
238604,Uttar Pradesh,Lucknow,Locality_83,Independent House,4,4128,105.96,2566.860465116279,Semi-furnished,25,10,8,4,Low,Yes,Yes,"Playground, Garden, Pool, Gym",West,Owner,Under_Construction,1,32
107111,Kerala,Trivandrum,Locality_414,Villa,1,3694,133.89,3624.5262587980505,Furnished,12,7,1,6,Low,Yes,Yes,"Gym, Garden, Clubhouse",West,Owner,Under_Construction,1,15
159656,Chhattisgarh,Raipur,Locality_494,Apartment,3,3242,374.54,11552.745219000617,Semi-furnished,0,29,2,8,Low,Yes,Yes,"Gym, Garden, Playground",West,Owner,Under_Construction,0,12
25990,West Bengal,Kolkata,Locality_461,Apartment,2,1718,85.12,4954.598370197905,Furnished,5,9,9,8,Low,No,Yes,"Garden, Clubhouse",East,Builder,Under_Construction,1,27
96968,Kerala,Trivandrum,Locality_479,Independent House,4,4616,88.17,1910.095320623917,Unfurnished,6,5,7,6,Medium,No,Yes,Playground,South,Builder,Ready_to_Move,1,25
246725,Bihar,Patna,Locality_420,Apartment,3,1469,468.23,31874.063989108236,Furnished,11,25,9,3,High,Yes,Yes,"Pool, Gym, Clubhouse",East,Builder,Ready_to_Move,0,21
126129,Delhi,New Delhi,Locality_113,Independent House,1,3290,439.26,13351.367781155015,Semi-furnished,0,12,5,8,Medium,No,No,Pool,West,Owner,Under_Construction,0,29
38199,Haryana,Faridabad,Locality_135,Villa,2,4331,101.15,2335.4883398753173,Semi-furnished,7,25,4,8,High,Yes,Yes,"Playground, Garden, Clubhouse, Gym",North,Broker,Under_Construction,1,21
178985,Kerala,Kochi,Locality_386,Independent House,2,1585,85.8,5413.249211356467,Furnished,11,4,8,2,High,Yes,Yes,"Pool, Clubhouse, Garden, Gym, Playground",West,Owner,Ready_to_Move,1,32
217142,Jharkhand,Jamshedpur,Locality_475,Villa,4,2173,159.24,7328.117809479982,Semi-furnished,16,3,1,4,Medium,Yes,Yes,"Garden, Gym, Clubhouse",South,Builder,Ready_to_Move,1,28
192448,Delhi,New Delhi,Locality_224,Villa,5,3745,153.3,4093.4579439252343,Unfurnished,12,13,10,4,Medium,Yes,Yes,"Gym, Garden",South,Builder,Ready_to_Move,1,3
210171,Kerala,Trivandrum,Locality_83,Apartment,3,836,178.85,21393.54066985646,Furnished,15,28,6,9,High,Yes,No,Clubhouse,North,Owner,Ready_to_Move,0,31
110325,Bihar,Gaya,Locality_452,Villa,5,2526,406.11,16077.197149643705,Semi-furnished,7,3,7,5,Medium,Yes,Yes,"Gym, Playground",East,Broker,Under_Construction,0,22
30105,Kerala,Kochi,Locality_299,Independent House,5,1889,39.93,2113.8168343038647,Unfurnished,14,1,10,4,Medium,No,Yes,"Gym, Garden, Playground, Pool",East,Broker,Under_Construction,1,14
155837,Andhra Pradesh,Vishakhapatnam,Locality_109,Villa,1,1806,13.55,750.2768549280178,Semi-furnished,0,23,7,2,Medium,Yes,No,"Pool, Gym, Playground",South,Broker,Under_Construction,1,31
43193,Bihar,Patna,Locality_486,Villa,1,1762,425.33,24139.046538024973,Semi-furnished,14,2,3,3,Low,No,No,"Gym, Pool, Garden, Clubhouse",East,Builder,Ready_to_Move,0,34
93382,Odisha,Cuttack,Locality_458,Apartment,2,1658,269.73,16268.395657418576,Semi-furnished,9,22,10,6,Medium,No,No,Pool,North,Broker,Under_Construction,0,8
28644,Rajasthan,Jodhpur,Locality_496,Villa,4,891,93.43,10485.970819304153,Furnished,25,28,3,7,High,Yes,Yes,Garden,West,Builder,Ready_to_Move,1,24
248952,Madhya Pradesh,Bhopal,Locality_402,Villa,4,2349,60.16,2561.0898254576414,Unfurnished,6,16,2,9,Medium,No,No,"Clubhouse, Playground, Garden, Gym, Pool",East,Builder,Ready_to_Move,1,23
194782,Madhya Pradesh,Bhopal,Locality_376,Independent House,3,3561,463.49,13015.725919685481,Unfurnished,3,30,4,8,Medium,Yes,Yes,"Pool, Gym, Playground, Clubhouse, Garden",East,Broker,Ready_to_Move,0,16
22987,Maharashtra,Mumbai,Locality_194,Apartment,2,2658,23.53,885.2520692249811,Furnished,29,9,10,9,Low,Yes,No,"Pool, Garden",West,Broker,Ready_to_Move,1,34
33377,Uttar Pradesh,Lucknow,Locality_44,Apartment,2,3745,254.13,6785.84779706275,Semi-furnished,10,18,8,2,Medium,Yes,Yes,"Playground, Clubhouse",South,Broker,Ready_to_Move,1,4
107445,Tamil Nadu,Coimbatore,Locality_98,Independent House,1,3788,327.64,8649.419218585006,Unfurnished,26,10,3,8,High,Yes,Yes,"Garden, Gym, Playground, Clubhouse",North,Owner,Under_Construction,1,32
171794,Maharashtra,Nagpur,Locality_318,Villa,5,2167,355.12,16387.63267189663,Semi-furnished,3,29,5,4,Medium,Yes,No,Garden,West,Broker,Under_Construction,0,3
160212,Haryana,Faridabad,Locality_218,Apartment,4,3379,216.03,6393.311630659959,Furnished,5,7,10,2,Medium,Yes,Yes,"Pool, Playground, Gym",South,Builder,Ready_to_Move,1,16
210901,Odisha,Bhubaneswar,Locality_267,Independent House,5,3704,96.09,2594.222462203024,Unfurnished,9,19,8,4,High,Yes,Yes,"Gym, Garden, Playground, Clubhouse",South,Owner,Ready_to_Move,1,9
167017,Tamil Nadu,Chennai,Locality_172,Apartment,3,2675,464.93,17380.560747663552,Semi-furnished,7,4,1,9,Low,No,No,"Garden, Gym",North,Broker,Under_Construction,0,25
197265,West Bengal,Kolkata,Locality_289,Villa,2,3191,202.83,6356.314634910686,Furnished,30,26,4,8,High,No,Yes,"Playground, Gym, Pool, Garden",North,Owner,Under_Construction,1,2
